Pays,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Production,Nombre Habitant,Evolution_pop %,Balance commerciale
Afghanistan,5.0,1.53,0.33,0.54,57.0,0.0,29.0,55.0,28.0,36296113,5.47,-29.0
Afrique du Sud,143.0,35.69,9.25,14.11,2118.0,63.0,514.0,2035.0,1667.0,57009756,2.93,-451.0
Albanie,85.0,16.36,6.45,6.26,47.0,0.0,38.0,47.0,13.0,2884169,-0.22,-38.0
Algérie,22.0,6.38,1.5,1.97,277.0,0.0,2.0,264.0,275.0,41389189,4.18,-2.0
Allemagne,71.0,19.47,4.16,7.96,1739.0,646.0,842.0,1609.0,1514.0,82658409,1.06,-196.0
Angola,35.0,10.56,2.22,3.6,319.0,0.0,277.0,315.0,42.0,29816766,6.93,-277.0
Antigua-et-Barbuda,233.0,54.1,17.55,17.77,7.0,0.0,7.0,5.0,0.0,95426,1.99,-7.0
Arabie saoudite,151.0,43.36,9.38,15.57,1435.0,10.0,722.0,1435.0,616.0,33101178,4.36,-712.0
Argentine,182.0,42.24,13.84,13.53,1962.0,207.0,8.0,1856.0,2161.0,43937140,2.0,199.0
Arménie,54.0,16.06,3.39,5.44,47.0,0.0,35.0,47.0,11.0,2944791,0.66,-35.0
Australie,192.0,47.65,13.45,16.6,1171.0,42.0,16.0,1171.0,1269.0,24584620,2.72,26.0
Autriche,65.0,18.2,3.66,7.49,173.0,78.0,110.0,160.0,148.0,8819901,1.63,-32.0
Azerbaïdjan,44.0,13.11,2.77,4.45,129.0,0.0,27.0,129.0,104.0,9845320,2.31,-27.0
Bahamas,182.0,43.17,13.33,14.61,26.0,0.0,24.0,16.0,6.0,381755,2.02,-24.0
Bangladesh,7.0,1.5,0.51,0.47,250.0,0.0,0.0,240.0,249.0,159685424,2.19,0.0
Barbade,199.0,46.78,14.85,15.33,17.0,0.0,2.0,13.0,15.0,286232,0.32,-2.0
